month,state,count,avg_frp,total_frp
2019-08,NSW,2322,27.5,63825.0
2019-08,NT,9021,45.2,408175.0
2019-08,QLD,3868,38.4,148590.0
2019-08,SA,40,26.4,1054.0
2019-08,VIC,14,15.4,216.0
2019-08,WA,989,41.3,40808.0
2019-09,NSW,4612,65.7,302963.0
2019-09,NT,6710,61.1,409649.0
2019-09,QLD,6142,52.4,321738.0
2019-09,SA,64,42.8,2738.0
2019-09,VIC,111,38.0,4214.0
2019-09,WA,2117,64.9,137342.0
2019-11,NSW,26669,97.3,2594310.0
2019-11,NT,3119,56.9,177562.0
2019-11,QLD,6467,55.1,356381.0
2019-11,SA,14,45.2,633.0
2019-11,VIC,51,57.9,2951.0
2019-11,WA,10818,101.1,1093660.0
2019-12,NSW,43849,94.3,4133292.0
2019-12,NT,6698,71.0,475353.0
2019-12,QLD,14698,58.4,858779.0
2019-12,SA,1437,169.8,244006.0
2019-12,VIC,242,81.6,19759.0
2019-12,WA,14488,132.6,1920435.0
2020-01,NSW,24064,93.5,2248866.0
2020-01,NT,489,68.3,33390.0
2020-01,QLD,2983,43.5,129906.0
2020-01,SA,1279,180.9,231374.0
2020-01,VIC,427,89.3,38152.0
2020-01,WA,5552,243.2,1350283.0
