latitude,longitude,frp,month,state,daynight
-13.977,130.591,37.9,2019-08,NT,D
-15.0096,130.6093,26.8,2019-08,NT,N
-14.1786,130.7086,37.4,2019-08,NT,N
-12.4667,134.9397,16.4,2019-08,NT,D
-12.6756,131.7063,28.7,2019-08,NT,D
-12.8472,134.4628,13.2,2019-08,NT,D
-27.2193,148.6607,57.3,2019-08,QLD,D
-16.8412,142.2529,15.9,2019-08,QLD,D
-15.4891,131.5257,31.0,2019-08,NT,D
-15.6552,130.5976,35.9,2019-08,NT,D
-11.4098,130.8547,8.4,2019-08,NT,D
-14.0157,129.7502,50.4,2019-08,NT,D
-31.4931,152.4892,19.1,2019-08,NSW,D
-14.9129,129.7941,30.7,2019-08,NT,N
-12.4516,133.9033,83.5,2019-08,NT,D
-12.3352,141.8981,54.6,2019-08,QLD,D
-14.3121,129.7355,52.0,2019-08,NT,D
-12.3004,134.1216,9.3,2019-08,NT,D
-16.7682,142.1407,38.7,2019-08,QLD,D
-13.185,131.9185,23.9,2019-08,NT,D
-14.6471,130.7438,4.0,2019-08,NT,N
-12.2863,133.177,16.7,2019-08,NT,D
-14.7466,130.7266,91.9,2019-08,NT,N
-12.287,131.1909,27.0,2019-08,NT,N
-16.4883,136.7384,40.6,2019-08,NT,D
-15.4676,130.7223,6.3,2019-08,NT,D
-13.9645,130.4944,17.6,2019-08,NT,N
-16.5295,136.9007,128.9,2019-08,NT,D
-22.7164,150.6012,12.1,2019-08,QLD,D
-15.2613,141.9305,29.0,2019-08,QLD,D
-16.1451,136.8962,5.9,2019-08,NT,N
-13.5652,130.3421,7.8,2019-08,NT,N
-31.7318,149.0525,11.0,2019-08,NSW,D
-19.6198,146.3439,100.2,2019-08,QLD,D
-26.1856,151.0458,67.0,2019-08,QLD,D
-15.1839,130.4228,41.6,2019-08,NT,N
-19.2014,138.3583,10.0,2019-08,QLD,D
-13.0004,132.9959,3.8,2019-08,NT,N
-27.492,149.7409,62.8,2019-08,QLD,D
-29.9238,153.0166,16.0,2019-08,NSW,N
-14.2455,132.714,39.9,2019-08,NT,D
-16.1162,136.4164,93.6,2019-08,NT,D
-29.7221,116.5555,4.7,2019-08,WA,D
-13.4425,132.0676,14.0,2019-08,NT,D
-14.6772,131.6721,47.5,2019-08,NT,N
-29.0275,149.5413,10.6,2019-08,NSW,D
-31.8066,151.5023,19.9,2019-08,NSW,N
-14.662,131.5854,49.9,2019-08,NT,D
-13.9081,142.4042,12.8,2019-08,QLD,D
-15.7958,137.0536,27.6,2019-08,NT,D
-13.9821,131.244,152.2,2019-08,NT,D
-16.8634,123.0846,37.5,2019-08,WA,D
-16.6452,142.0211,18.6,2019-08,QLD,D
-30.413,148.553,10.9,2019-08,NSW,D
-13.2735,130.9905,320.8,2019-08,NT,D
