year,month_num,total_fire_area_km2,total_count,month_label,month_order,angle,is_black_summer,period,median_fire_area_km2,ratio_to_median,radius_value,x_pos,y_pos,label_x,label_y
2005,1,3975.4,2008,Jan,0,0.0,False,Historical years,4068.5,0.98,63.051,0.0,-63.051,0.0,-275.0
2005,2,3534.5,1705,Feb,1,0.5235987755982988,False,Historical years,2737.0,1.29,59.452,29.726,-51.487,137.5,-238.157
2005,3,5095.8,2396,Mar,2,1.0471975511965976,False,Historical years,2271.9,2.24,71.385,61.821,-35.692,238.157,-137.5
2005,4,5871.8,2928,Apr,3,1.5707963267948966,False,Historical years,4423.4,1.33,76.628,76.628,-0.0,275.0,-0.0
2005,5,3970.3,2073,May,4,2.0943951023931953,False,Historical years,2751.2,1.44,63.01,54.569,31.505,238.157,137.5
2005,6,1463.9,869,Jun,5,2.6179938779914944,False,Historical years,1156.8,1.27,38.261,19.13,33.135,137.5,238.157
2005,7,1401.4,839,Jul,6,3.141592653589793,False,Historical years,1756.2,0.8,37.435,0.0,37.435,0.0,275.0
2005,8,3274.6,1875,Aug,7,3.6651914291880923,False,Historical years,3427.9,0.96,57.224,-28.612,49.558,-137.5,238.157
2005,9,5496.2,3244,Sep,8,4.1887902047863905,False,Historical years,6312.2,0.87,74.136,-64.204,37.068,-238.157,137.5
2005,10,11915.1,6223,Oct,9,4.71238898038469,False,Historical years,9367.4,1.27,109.156,-109.156,0.0,-275.0,0.0
2005,11,9054.5,4771,Nov,10,5.235987755982989,False,Historical years,12078.5,0.75,95.155,-82.407,-47.578,-238.157,-137.5
2005,12,11862.5,6424,Dec,11,5.759586531581287,False,Historical years,8203.0,1.45,108.915,-54.458,-94.323,-137.5,-238.157
2006,1,6638.7,3152,Jan,0,0.0,False,Historical years,4068.5,1.63,81.478,0.0,-81.478,0.0,-275.0
2006,2,3085.5,1498,Feb,1,0.5235987755982988,False,Historical years,2737.0,1.13,55.547,27.774,-48.105,137.5,-238.157
2006,3,2020.2,1022,Mar,2,1.0471975511965976,False,Historical years,2271.9,0.89,44.947,38.925,-22.473,238.157,-137.5
2006,4,5509.8,2939,Apr,3,1.5707963267948966,False,Historical years,4423.4,1.25,74.228,74.228,-0.0,275.0,-0.0
2006,5,3766.7,1984,May,4,2.0943951023931953,False,Historical years,2751.2,1.37,61.373,53.151,30.687,238.157,137.5
2006,6,1837.0,1068,Jun,5,2.6179938779914944,False,Historical years,1156.8,1.59,42.86,21.43,37.118,137.5,238.157
2006,7,1258.2,728,Jul,6,3.141592653589793,False,Historical years,1756.2,0.72,35.471,0.0,35.471,0.0,275.0
2006,8,5252.5,3025,Aug,7,3.6651914291880923,False,Historical years,3427.9,1.53,72.474,-36.237,62.764,-137.5,238.157
2006,9,5296.3,2808,Sep,8,4.1887902047863905,False,Historical years,6312.2,0.84,72.776,-63.026,36.388,-238.157,137.5
2006,10,6397.6,3365,Oct,9,4.71238898038469,False,Historical years,9367.4,0.68,79.985,-79.985,0.0,-275.0,0.0
2006,11,28483.8,15202,Nov,10,5.235987755982989,False,Historical years,12078.5,2.36,168.771,-146.16,-84.386,-238.157,-137.5
2006,12,22481.6,11358,Dec,11,5.759586531581287,False,Historical years,8203.0,2.74,149.939,-74.969,-129.851,-137.5,-238.157
2007,1,7988.6,4165,Jan,0,0.0,False,Historical years,4068.5,1.96,89.379,0.0,-89.379,0.0,-275.0
2007,2,2899.1,1478,Feb,1,0.5235987755982988,False,Historical years,2737.0,1.06,53.843,26.922,-46.63,137.5,-238.157
2007,3,2116.0,1101,Mar,2,1.0471975511965976,False,Historical years,2271.9,0.93,46.0,39.837,-23.0,238.157,-137.5
2007,4,2539.1,1446,Apr,3,1.5707963267948966,False,Historical years,4423.4,0.57,50.389,50.389,-0.0,275.0,-0.0
2007,5,1644.8,954,May,4,2.0943951023931953,False,Historical years,2751.2,0.6,40.556,35.123,20.278,238.157,137.5
2007,6,714.9,392,Jun,5,2.6179938779914944,False,Historical years,1156.8,0.62,26.738,13.369,23.155,137.5,238.157
2007,7,2377.7,1307,Jul,6,3.141592653589793,False,Historical years,1756.2,1.35,48.762,0.0,48.762,0.0,275.0
2007,8,2239.0,1366,Aug,7,3.6651914291880923,False,Historical years,3427.9,0.65,47.318,-23.659,40.979,-137.5,238.157
2007,9,6904.0,3712,Sep,8,4.1887902047863905,False,Historical years,6312.2,1.09,83.09,-71.958,41.545,-238.157,137.5
2007,10,8059.5,4227,Oct,9,4.71238898038469,False,Historical years,9367.4,0.86,89.775,-89.775,0.0,-275.0,0.0
2007,11,10637.5,5293,Nov,10,5.235987755982989,False,Historical years,12078.5,0.88,103.138,-89.32,-51.569,-238.157,-137.5
2007,12,6009.1,2939,Dec,11,5.759586531581287,False,Historical years,8203.0,0.73,77.518,-38.759,-67.133,-137.5,-238.157
2008,1,1136.4,527,Jan,0,0.0,False,Historical years,4068.5,0.28,33.711,0.0,-33.711,0.0,-275.0
2008,2,424.7,206,Feb,1,0.5235987755982988,False,Historical years,2737.0,0.16,20.608,10.304,-17.847,137.5,-238.157
2008,3,1112.7,613,Mar,2,1.0471975511965976,False,Historical years,2271.9,0.49,33.357,28.888,-16.679,238.157,-137.5
2008,4,3598.3,2019,Apr,3,1.5707963267948966,False,Historical years,4423.4,0.81,59.986,59.986,-0.0,275.0,-0.0
2008,5,1643.6,945,May,4,2.0943951023931953,False,Historical years,2751.2,0.6,40.541,35.11,20.271,238.157,137.5
2008,6,775.0,456,Jun,5,2.6179938779914944,False,Historical years,1156.8,0.67,27.839,13.919,24.109,137.5,238.157
2008,7,1119.1,642,Jul,6,3.141592653589793,False,Historical years,1756.2,0.64,33.453,0.0,33.453,0.0,275.0
2008,8,2486.8,1459,Aug,7,3.6651914291880923,False,Historical years,3427.9,0.73,49.868,-24.934,43.187,-137.5,238.157
2008,9,5410.4,3082,Sep,8,4.1887902047863905,False,Historical years,6312.2,0.86,73.555,-63.701,36.778,-238.157,137.5
2008,10,10114.4,5465,Oct,9,4.71238898038469,False,Historical years,9367.4,1.08,100.57,-100.57,0.0,-275.0,0.0
