month_day,baseline_date,avg_count
08-01,2019-08-01,238.4
08-02,2019-08-02,264.7
08-03,2019-08-03,247.6
08-04,2019-08-04,269.9
08-05,2019-08-05,282.9
08-06,2019-08-06,262.6
08-07,2019-08-07,312.4
08-08,2019-08-08,278.6
08-09,2019-08-09,336.1
08-10,2019-08-10,358.5
08-11,2019-08-11,271.7
08-12,2019-08-12,325.0
08-13,2019-08-13,314.7
08-14,2019-08-14,348.6
08-15,2019-08-15,354.1
08-16,2019-08-16,420.2
08-17,2019-08-17,369.9
08-18,2019-08-18,324.2
08-19,2019-08-19,367.7
08-20,2019-08-20,333.7
08-21,2019-08-21,336.9
08-22,2019-08-22,352.8
08-23,2019-08-23,376.1
08-24,2019-08-24,353.8
08-25,2019-08-25,366.9
08-26,2019-08-26,322.2
08-27,2019-08-27,306.8
08-28,2019-08-28,385.0
08-29,2019-08-29,344.9
08-30,2019-08-30,394.0
08-31,2019-08-31,353.8
09-01,2019-09-01,385.1
09-02,2019-09-02,451.1
09-03,2019-09-03,435.6
09-04,2019-09-04,486.4
09-05,2019-09-05,410.6
09-06,2019-09-06,357.7
09-07,2019-09-07,413.1
09-08,2019-09-08,448.7
09-09,2019-09-09,538.8
09-10,2019-09-10,510.2
09-11,2019-09-11,547.1
09-12,2019-09-12,487.0
09-13,2019-09-13,633.1
09-14,2019-09-14,539.6
09-15,2019-09-15,535.3
09-16,2019-09-16,582.8
09-17,2019-09-17,721.2
09-18,2019-09-18,867.3
09-19,2019-09-19,946.9
09-20,2019-09-20,885.6
09-21,2019-09-21,714.7
09-22,2019-09-22,820.9
09-23,2019-09-23,743.8
09-24,2019-09-24,666.2
09-25,2019-09-25,628.4
09-26,2019-09-26,675.1
09-27,2019-09-27,678.9
09-28,2019-09-28,691.6
09-29,2019-09-29,798.2
09-30,2019-09-30,834.3
10-01,2019-10-01,878.8
10-02,2019-10-02,710.9
10-03,2019-10-03,697.2
10-04,2019-10-04,623.6
10-05,2019-10-05,601.1
10-06,2019-10-06,622.3
10-07,2019-10-07,639.0
10-08,2019-10-08,657.8
10-09,2019-10-09,630.5
10-10,2019-10-10,704.1
10-11,2019-10-11,768.1
10-12,2019-10-12,766.3
10-13,2019-10-13,779.1
10-14,2019-10-14,960.1
10-15,2019-10-15,907.0
10-16,2019-10-16,935.4
10-17,2019-10-17,917.6
10-18,2019-10-18,984.8
10-19,2019-10-19,831.6
10-20,2019-10-20,894.6
10-21,2019-10-21,757.9
10-22,2019-10-22,897.5
10-23,2019-10-23,881.4
10-24,2019-10-24,752.3
10-25,2019-10-25,649.7
10-26,2019-10-26,704.4
10-27,2019-10-27,782.6
10-28,2019-10-28,735.2
10-29,2019-10-29,762.1
10-30,2019-10-30,740.5
10-31,2019-10-31,810.9
11-01,2019-11-01,740.6
11-02,2019-11-02,734.2
11-03,2019-11-03,716.6
11-04,2019-11-04,769.9
11-05,2019-11-05,732.6
11-06,2019-11-06,752.4
11-07,2019-11-07,762.1
11-08,2019-11-08,752.3
11-09,2019-11-09,690.4
11-10,2019-11-10,712.4
11-11,2019-11-11,772.1
11-12,2019-11-12,748.7
11-13,2019-11-13,746.5
11-14,2019-11-14,749.4
11-15,2019-11-15,771.8
11-16,2019-11-16,894.6
11-17,2019-11-17,847.0
11-18,2019-11-18,704.1
11-19,2019-11-19,784.5
11-20,2019-11-20,729.3
11-21,2019-11-21,645.9
11-22,2019-11-22,589.9
11-23,2019-11-23,566.4
11-24,2019-11-24,581.9
11-25,2019-11-25,555.4
11-26,2019-11-26,595.9
11-27,2019-11-27,514.4
11-28,2019-11-28,656.6
11-29,2019-11-29,700.5
11-30,2019-11-30,681.8
12-01,2019-12-01,664.1
12-02,2019-12-02,544.1
12-03,2019-12-03,571.8
12-04,2019-12-04,545.3
12-05,2019-12-05,718.1
12-06,2019-12-06,672.9
12-07,2019-12-07,529.4
12-08,2019-12-08,518.9
12-09,2019-12-09,477.3
12-10,2019-12-10,372.9
12-11,2019-12-11,370.4
12-12,2019-12-12,326.2
12-13,2019-12-13,385.4
12-14,2019-12-14,361.4
12-15,2019-12-15,298.0
12-16,2019-12-16,221.3
12-17,2019-12-17,236.4
12-18,2019-12-18,262.5
12-19,2019-12-19,235.4
12-20,2019-12-20,261.5
12-21,2019-12-21,214.9
12-22,2019-12-22,199.4
12-23,2019-12-23,182.4
12-24,2019-12-24,193.1
12-25,2019-12-25,167.9
12-26,2019-12-26,154.6
12-27,2019-12-27,166.1
12-28,2019-12-28,151.7
12-29,2019-12-29,172.3
12-30,2019-12-30,188.4
12-31,2019-12-31,210.2
01-01,2020-01-01,94.6
01-02,2020-01-02,148.4
01-03,2020-01-03,177.7
01-04,2020-01-04,215.6
01-05,2020-01-05,208.5
01-06,2020-01-06,257.9
01-07,2020-01-07,231.5
01-08,2020-01-08,227.9
01-09,2020-01-09,228.4
01-10,2020-01-10,194.7
01-11,2020-01-11,258.7
01-12,2020-01-12,184.1
01-13,2020-01-13,207.6
01-14,2020-01-14,176.6
01-15,2020-01-15,148.9
01-16,2020-01-16,232.0
01-17,2020-01-17,210.9
01-18,2020-01-18,159.1
01-19,2020-01-19,127.8
01-20,2020-01-20,125.6
01-21,2020-01-21,136.2
01-22,2020-01-22,131.1
01-23,2020-01-23,132.9
01-24,2020-01-24,101.9
01-25,2020-01-25,80.8
01-26,2020-01-26,76.5
01-27,2020-01-27,84.5
01-28,2020-01-28,121.6
01-29,2020-01-29,133.2
01-30,2020-01-30,109.9
01-31,2020-01-31,89.1
