month,month_index,month_start_day,year,month_num,month_label,month_label_long,avg_frp,avg_daily_frp,max_daily_frp,detection_count,active_days,is_black_summer,period
2005-01,0,0,2005,1,Jan,Jan 2005,205.9,179.6,578.5,2604,31,False,Historical record
2005-02,1,31,2005,2,Feb,Feb 2005,275.0,170.5,497.6,2690,28,False,Historical record
2005-03,2,59,2005,3,Mar,Mar 2005,101.5,85.7,161.3,710,29,False,Historical record
2005-04,3,90,2005,4,Apr,Apr 2005,89.5,78.9,349.3,1890,30,False,Historical record
2005-05,4,120,2005,5,May,May 2005,94.2,87.2,169.8,2493,31,False,Historical record
2005-06,5,151,2005,6,Jun,Jun 2005,73.7,71.8,149.9,1320,30,False,Historical record
2005-07,6,181,2005,7,Jul,Jul 2005,74.5,67.1,141.1,1115,30,False,Historical record
2005-08,7,212,2005,8,Aug,Aug 2005,98.9,88.5,154.4,1058,31,False,Historical record
2005-09,8,243,2005,9,Sep,Sep 2005,94.4,89.8,195.3,888,29,False,Historical record
2005-10,9,273,2005,10,Oct,Oct 2005,91.9,91.2,177.5,2304,31,False,Historical record
2005-11,10,304,2005,11,Nov,Nov 2005,120.0,121.5,222.6,4213,30,False,Historical record
2005-12,11,334,2005,12,Dec,Dec 2005,217.6,206.2,800.8,2048,31,False,Historical record
2006-01,12,365,2006,1,Jan,Jan 2006,191.1,121.2,296.8,377,20,False,Historical record
2006-02,13,396,2006,2,Feb,Feb 2006,94.2,82.1,317.6,151,22,False,Historical record
2006-03,14,424,2006,3,Mar,Mar 2006,67.6,73.1,298.8,538,30,False,Historical record
2006-04,15,455,2006,4,Apr,Apr 2006,79.5,86.8,382.2,1764,30,False,Historical record
2006-05,16,485,2006,5,May,May 2006,83.0,75.1,154.4,2005,31,False,Historical record
2006-06,17,516,2006,6,Jun,Jun 2006,70.5,67.8,103.6,1025,30,False,Historical record
2006-07,18,546,2006,7,Jul,Jul 2006,111.8,92.7,173.9,1019,31,False,Historical record
2006-08,19,577,2006,8,Aug,Aug 2006,109.4,101.8,169.9,3190,31,False,Historical record
2006-09,20,608,2006,9,Sep,Sep 2006,133.2,126.8,244.2,9223,30,False,Historical record
2006-10,21,638,2006,10,Oct,Oct 2006,140.7,138.1,361.0,8078,31,False,Historical record
2006-11,22,669,2006,11,Nov,Nov 2006,141.4,144.8,268.2,19641,30,False,Historical record
2006-12,23,699,2006,12,Dec,Dec 2006,120.0,117.3,221.4,4232,31,False,Historical record
2007-01,24,730,2007,1,Jan,Jan 2007,277.6,163.9,704.8,596,29,False,Historical record
2007-02,25,761,2007,2,Feb,Feb 2007,123.0,114.3,224.6,2829,28,False,Historical record
2007-03,26,789,2007,3,Mar,Mar 2007,104.0,63.4,210.3,371,26,False,Historical record
2007-04,27,820,2007,4,Apr,Apr 2007,62.9,63.3,157.5,813,27,False,Historical record
2007-05,28,850,2007,5,May,May 2007,87.6,97.0,388.2,1493,31,False,Historical record
2007-06,29,881,2007,6,Jun,Jun 2007,78.6,65.8,158.6,881,29,False,Historical record
2007-07,30,911,2007,7,Jul,Jul 2007,98.6,85.6,165.9,1567,31,False,Historical record
2007-08,31,942,2007,8,Aug,Aug 2007,105.1,101.3,167.1,5752,31,False,Historical record
2007-09,32,973,2007,9,Sep,Sep 2007,150.0,136.4,259.8,6186,30,False,Historical record
2007-10,33,1003,2007,10,Oct,Oct 2007,125.3,123.8,252.6,5818,31,False,Historical record
2007-11,34,1034,2007,11,Nov,Nov 2007,164.4,140.8,274.2,8519,30,False,Historical record
2007-12,35,1064,2007,12,Dec,Dec 2007,149.6,126.4,317.5,4351,31,False,Historical record
2008-01,36,1095,2008,1,Jan,Jan 2008,185.3,151.1,562.6,4299,31,False,Historical record
2008-02,37,1126,2008,2,Feb,Feb 2008,137.2,90.6,284.1,347,26,False,Historical record
2008-03,38,1155,2008,3,Mar,Mar 2008,94.5,88.0,220.3,518,31,False,Historical record
2008-04,39,1186,2008,4,Apr,Apr 2008,88.7,89.8,156.5,2672,30,False,Historical record
2008-05,40,1216,2008,5,May,May 2008,94.2,93.4,174.8,2935,31,False,Historical record
2008-06,41,1247,2008,6,Jun,Jun 2008,75.8,73.9,229.3,543,30,False,Historical record
2008-07,42,1277,2008,7,Jul,Jul 2008,107.0,105.5,210.9,1337,31,False,Historical record
2008-08,43,1308,2008,8,Aug,Aug 2008,109.4,98.7,298.7,1795,31,False,Historical record
2008-09,44,1339,2008,9,Sep,Sep 2008,110.6,106.1,227.2,1423,30,False,Historical record
2008-10,45,1369,2008,10,Oct,Oct 2008,119.0,114.5,212.8,8997,31,False,Historical record
2008-11,46,1400,2008,11,Nov,Nov 2008,114.4,96.2,176.7,2222,30,False,Historical record
2008-12,47,1430,2008,12,Dec,Dec 2008,126.8,127.8,923.7,494,31,False,Historical record
2009-01,48,1461,2009,1,Jan,Jan 2009,238.0,175.2,443.7,1232,30,False,Historical record
2009-02,49,1492,2009,2,Feb,Feb 2009,88.1,80.3,465.8,314,24,False,Historical record
2009-03,50,1520,2009,3,Mar,Mar 2009,68.1,69.9,363.8,679,29,False,Historical record
2009-04,51,1551,2009,4,Apr,Apr 2009,74.7,79.3,145.9,2462,30,False,Historical record
2009-05,52,1581,2009,5,May,May 2009,73.5,70.6,128.1,2726,31,False,Historical record
2009-06,53,1612,2009,6,Jun,Jun 2009,83.7,71.3,210.4,411,28,False,Historical record
2009-07,54,1642,2009,7,Jul,Jul 2009,97.4,76.6,178.9,761,31,False,Historical record
2009-08,55,1673,2009,8,Aug,Aug 2009,137.8,124.1,294.9,1513,31,False,Historical record
2009-09,56,1704,2009,9,Sep,Sep 2009,110.4,103.7,192.4,1198,30,False,Historical record
2009-10,57,1734,2009,10,Oct,Oct 2009,137.0,138.0,226.4,8959,31,False,Historical record
2009-11,58,1765,2009,11,Nov,Nov 2009,120.9,121.0,280.9,5067,30,False,Historical record
