start_date,start_day,end_date,window_label,short_label,year_label,total_count,max_daily,is_black_summer_window
2005-01-01,0,2005-07-03,Jan 2005-Jul 2005,Jan 2005,2005,33135,663,False
2005-02-01,31,2005-08-03,Feb 2005-Aug 2005,Feb 2005,2005,32698,663,False
2005-03-01,59,2005-08-31,Mar 2005-Aug 2005,Mar 2005,2005,33414,629,False
2005-04-01,90,2005-10-01,Apr 2005-Oct 2005,Apr 2005,2005,38376,629,False
2005-05-01,120,2005-10-31,May 2005-Oct 2005,May 2005,2005,43739,786,False
2005-06-01,151,2005-12-01,Jun 2005-Dec 2005,Jun 2005,2005,45229,786,False
2005-07-01,181,2005-12-31,Jul 2005-Dec 2005,Jul 2005,2005,49389,786,False
2005-08-01,212,2006-01-31,Aug 2005-Jan 2006,Aug 2005,2005,48268,786,False
2005-09-01,243,2006-03-03,Sep 2005-Mar 2006,Sep 2005,2005,44218,786,False
2005-10-01,273,2006-04-02,Oct 2005-Apr 2006,Oct 2005,2005,38041,786,False
2005-11-01,304,2006-05-03,Nov 2005-May 2006,Nov 2005,2005,30914,664,False
2005-12-01,334,2006-06-02,Dec 2005-Jun 2006,Dec 2005,2005,26480,664,False
2006-01-01,365,2006-07-03,Jan 2006-Jul 2006,Jan 2006,2006,22144,664,False
2006-02-01,396,2006-08-03,Feb 2006-Aug 2006,Feb 2006,2006,23522,664,False
2006-03-01,424,2006-08-31,Mar 2006-Aug 2006,Mar 2006,2006,34590,873,False
2006-04-01,455,2006-10-01,Apr 2006-Oct 2006,Apr 2006,2006,54643,1455,False
2006-05-01,485,2006-10-31,May 2006-Oct 2006,May 2006,2006,68799,1455,False
2006-06-01,516,2006-12-01,Jun 2006-Dec 2006,Jun 2006,2006,110993,3475,False
2006-07-01,546,2006-12-31,Jul 2006-Dec 2006,Jul 2006,2006,124953,3475,False
2006-08-01,577,2007-01-31,Aug 2006-Jan 2007,Aug 2006,2006,125559,3475,False
2006-09-01,608,2007-03-03,Sep 2006-Mar 2007,Sep 2006,2006,116638,3475,False
2006-10-01,638,2007-04-02,Oct 2006-Apr 2007,Oct 2006,2006,97167,3475,False
2006-11-01,669,2007-05-03,Nov 2006-May 2007,Nov 2006,2006,81124,3475,False
2006-12-01,699,2007-06-02,Dec 2006-Jun 2007,Dec 2006,2006,38855,1452,False
2007-01-01,730,2007-07-03,Jan 2007-Jul 2007,Jan 2007,2007,22808,712,False
2007-02-01,761,2007-08-03,Feb 2007-Aug 2007,Feb 2007,2007,23924,507,False
2007-03-01,789,2007-08-31,Mar 2007-Aug 2007,Mar 2007,2007,29986,537,False
2007-04-01,820,2007-10-01,Apr 2007-Oct 2007,Apr 2007,2007,59415,2080,False
2007-05-01,850,2007-10-31,May 2007-Oct 2007,May 2007,2007,80864,2080,False
2007-06-01,881,2007-12-01,Jun 2007-Dec 2007,Jun 2007,2007,96376,2080,False
2007-07-01,911,2007-12-31,Jul 2007-Dec 2007,Jul 2007,2007,101030,2080,False
2007-08-01,942,2008-01-31,Aug 2007-Jan 2008,Aug 2007,2007,100592,2080,False
2007-09-01,973,2008-03-02,Sep 2007-Mar 2008,Sep 2007,2007,90122,2080,False
2007-10-01,1003,2008-04-01,Oct 2007-Apr 2008,Oct 2007,2007,62027,1733,False
2007-11-01,1034,2008-05-02,Nov 2007-May 2008,Nov 2007,2007,42124,1164,False
2007-12-01,1064,2008-06-01,Dec 2007-Jun 2008,Dec 2007,2007,30483,1090,False
2008-01-01,1095,2008-07-02,Jan 2008-Jul 2008,Jan 2008,2008,24645,548,False
2008-02-01,1126,2008-08-02,Feb 2008-Aug 2008,Feb 2008,2008,23982,548,False
2008-03-01,1155,2008-08-31,Mar 2008-Aug 2008,Mar 2008,2008,30736,600,False
2008-04-01,1186,2008-10-01,Apr 2008-Oct 2008,Apr 2008,2008,37481,600,False
2008-05-01,1216,2008-10-31,May 2008-Oct 2008,May 2008,2008,49152,1495,False
2008-06-01,1247,2008-12-01,Jun 2008-Dec 2008,Jun 2008,2008,54267,1495,False
