year,month_num,total_fire_area_km2,total_count,month_label
2005,1,10663.6,4926,Jan
2005,2,11617.2,4697,Feb
2005,3,7035.1,3301,Mar
2005,4,12682.9,6442,Apr
2005,5,16984.0,8649,May
2005,6,8004.2,4477,Jun
2005,7,8611.8,4713,Jul
2005,8,11350.1,5832,Aug
2005,9,14285.3,7786,Sep
2005,10,23098.0,12282,Oct
2005,11,20245.0,10014,Nov
2005,12,17121.7,8762,Dec
2006,1,7737.9,3592,Jan
2006,2,3531.1,1720,Feb
2006,3,3026.6,1584,Mar
2006,4,9379.5,4785,Apr
2006,5,11063.4,5684,May
2006,6,8375.3,4518,Jun
2006,7,8569.0,4390,Jul
2006,8,26315.4,13629,Aug
2006,9,43075.7,21069,Sep
2006,10,40247.2,19509,Oct
2006,11,97036.0,46704,Nov
2006,12,40101.0,19652,Dec
2007,1,9906.2,4996,Jan
2007,2,9463.3,4547,Feb
2007,3,3167.8,1651,Mar
2007,4,6038.5,3244,Apr
2007,5,8484.8,4490,May
2007,6,6883.2,3556,Jun
2007,7,11436.8,5854,Jul
2007,8,22546.0,11191,Aug
2007,9,61409.4,29489,Sep
2007,10,55619.3,26284,Oct
2007,11,39961.9,19121,Nov
2007,12,19555.7,9091,Dec
2008,1,12055.7,5416,Jan
2008,2,1605.9,689,Feb
2008,3,2481.0,1271,Mar
2008,4,11409.7,6154,Apr
2008,5,15096.0,7691,May
2008,6,5631.7,3149,Jun
2008,7,9161.0,4742,Jul
2008,8,14335.1,7729,Aug
2008,9,14277.2,7607,Sep
2008,10,36154.8,18234,Oct
2008,11,24994.0,12601,Nov
2008,12,7025.1,3913,Dec
2009,1,4269.2,1775,Jan
2009,2,5184.8,2528,Feb
2009,3,3823.7,1972,Mar
2009,4,11767.3,6216,Apr
2009,5,13399.9,7284,May
2009,6,6743.8,3585,Jun
2009,7,8757.2,4746,Jul
2009,8,13394.3,7010,Aug
2009,9,20020.9,10447,Sep
2009,10,56878.0,28297,Oct
2009,11,50600.1,26036,Nov
2009,12,32043.9,16189,Dec
2010,1,6732.2,3555,Jan
2010,2,6361.4,2952,Feb
2010,3,4579.7,2353,Mar
2010,4,7051.6,3759,Apr
2010,5,7599.6,4229,May
2010,6,7302.5,4188,Jun
2010,7,6244.5,3689,Jul
2010,8,11114.7,5860,Aug
2010,9,7002.0,3822,Sep
2010,10,9760.4,5029,Oct
2010,11,14093.1,6708,Nov
2010,12,3368.4,1590,Dec
2011,1,6119.4,2771,Jan
2011,2,2355.7,1149,Feb
2011,3,7843.6,3585,Mar
2011,4,17037.3,8122,Apr
2011,5,20848.3,10858,May
2011,6,14194.7,7632,Jun
2011,7,14912.6,7867,Jul
2011,8,53871.1,25389,Aug
2011,9,139933.7,63947,Sep
2011,10,103895.8,49552,Oct
2011,11,39824.5,20284,Nov
2011,12,23611.9,11541,Dec
2012,1,19589.5,9717,Jan
2012,2,15194.9,6917,Feb
2012,3,4726.8,2209,Mar
2012,4,20561.1,10294,Apr
2012,5,21054.1,11449,May
2012,6,19730.2,10213,Jun
2012,7,15877.2,8111,Jul
2012,8,36619.8,18020,Aug
2012,9,73409.7,35477,Sep
2012,10,123698.6,56941,Oct
2012,11,89772.0,43126,Nov
2012,12,39306.4,20824,Dec
2013,1,27261.6,13198,Jan
2013,2,6780.9,3629,Feb
2013,3,3729.9,1783,Mar
2013,4,11718.0,6105,Apr
2013,5,7204.3,3944,May
2013,6,6315.5,3614,Jun
2013,7,8478.2,4813,Jul
2013,8,12751.6,6837,Aug
2013,9,18887.8,9749,Sep
2013,10,27470.4,14108,Oct
2013,11,23299.8,11620,Nov
2013,12,11618.5,6214,Dec
2014,1,16536.1,8300,Jan
2014,2,4762.6,2720,Feb
2014,3,6152.8,2985,Mar
2014,4,10284.4,4951,Apr
2014,5,11153.4,5750,May
2014,6,13022.2,7006,Jun
2014,7,10121.9,5728,Jul
2014,8,23053.3,11771,Aug
2014,9,35139.0,17200,Sep
2014,10,63476.1,29470,Oct
2014,11,34387.0,16494,Nov
2014,12,11683.6,5999,Dec
2015,1,5358.3,2728,Jan
2015,2,5974.9,3035,Feb
2015,3,11681.8,5615,Mar
2015,4,20236.7,10007,Apr
2015,5,21294.2,11490,May
2015,6,10235.5,5287,Jun
2015,7,9610.8,5442,Jul
2015,8,15032.7,7880,Aug
2015,9,24755.3,12502,Sep
2015,10,40155.9,19537,Oct
2015,11,42236.5,20516,Nov
2015,12,9872.1,4701,Dec
2016,1,6308.3,3259,Jan
2016,2,2240.7,1176,Feb
2016,3,4772.4,2488,Mar
2016,4,14833.7,7860,Apr
2016,5,7697.0,3919,May
2016,6,6741.3,3786,Jun
2016,7,12149.3,6666,Jul
2016,8,8635.1,4810,Aug
2016,9,3991.6,2089,Sep
2016,10,20425.2,10366,Oct
2016,11,29100.1,14521,Nov
2016,12,14062.0,6874,Dec
2017,1,1671.9,850,Jan
2017,2,3007.5,1495,Feb
2017,3,8546.4,3916,Mar
2017,4,14309.3,7203,Apr
2017,5,22979.9,11586,May
2017,6,13049.8,7458,Jun
2017,7,9097.0,4866,Jul
2017,8,18382.5,9183,Aug
2017,9,50301.6,23702,Sep
2017,10,36116.6,16625,Oct
2017,11,54442.9,24871,Nov
2017,12,34957.0,16958,Dec
2018,1,10867.8,5112,Jan
2018,2,3348.7,1751,Feb
2018,3,7385.4,3664,Mar
2018,4,28973.5,14722,Apr
2018,5,27252.2,14295,May
2018,6,12297.3,6554,Jun
2018,7,13170.1,6869,Jul
2018,8,14081.5,7308,Aug
2018,9,26690.7,13209,Sep
2018,10,62559.3,29549,Oct
2018,11,49565.2,24188,Nov
2018,12,32222.5,15732,Dec
2019,1,31331.8,14584,Jan
2019,2,17143.2,8393,Feb
2019,3,9099.4,4714,Mar
2019,4,9590.4,5045,Apr
2019,5,10859.8,5856,May
2019,6,9596.6,5559,Jun
2019,7,13646.2,7518,Jul
2019,8,10750.9,5864,Aug
2019,9,16579.6,8968,Sep
2019,10,31387.8,15313,Oct
2019,11,49566.8,26341,Nov
2019,12,88855.7,48236,Dec
2020,1,37239.6,21703,Jan
2020,2,6248.2,3024,Feb
2020,3,2932.7,1515,Mar
2020,4,4844.1,2705,Apr
2020,5,7800.3,4658,May
2020,6,6582.1,3831,Jun
2020,7,9040.7,5280,Jul
2020,8,3249.2,1920,Aug
2020,9,5897.2,3250,Sep
2020,10,9183.1,5072,Oct
