latitude,longitude,frp,acq_date,month,state,daynight,confidence
-29.17611,152.91171,196.5,2019-08-11,2019-08,NSW,D,n
-29.31169,153.0527,169.4,2019-08-10,2019-08,NSW,D,n
-32.19678,146.73233,149.6,2019-08-16,2019-08,NSW,D,h
-29.33564,152.83165,80.6,2019-08-10,2019-08,NSW,D,n
-32.24089,148.47429,77.7,2019-08-29,2019-08,NSW,D,n
-37.05595,148.71309,66.5,2019-08-30,2019-08,NSW,D,h
-29.33658,152.82251,64.4,2019-08-09,2019-08,NSW,D,h
-29.33927,152.82735,64.4,2019-08-09,2019-08,NSW,D,n
-29.90383,153.00391,50.0,2019-08-11,2019-08,NSW,D,n
-31.67187,146.57849,49.0,2019-08-27,2019-08,NSW,D,n
-34.72058,149.45351,48.3,2019-08-24,2019-08,NSW,D,n
-31.53855,152.63156,47.8,2019-08-11,2019-08,NSW,D,h
-31.12829,146.6485,33.3,2019-08-14,2019-08,NSW,D,n
-36.35743,149.43011,32.5,2019-08-13,2019-08,NSW,D,n
-32.00311,151.36554,31.0,2019-08-26,2019-08,NSW,D,n
-32.00717,151.36617,31.0,2019-08-26,2019-08,NSW,D,n
-30.65319,150.09229,30.9,2019-08-19,2019-08,NSW,D,n
-31.31539,152.58936,27.6,2019-08-09,2019-08,NSW,D,n
-33.95985,146.38841,27.5,2019-08-07,2019-08,NSW,D,n
-29.92744,153.01274,27.4,2019-08-11,2019-08,NSW,D,n
-32.47054,146.1088,27.3,2019-08-23,2019-08,NSW,D,n
-29.79688,152.51674,25.5,2019-08-17,2019-08,NSW,D,h
-31.83661,147.25177,23.0,2019-08-24,2019-08,NSW,D,n
-29.80553,152.74837,22.9,2019-08-14,2019-08,NSW,D,n
-29.62638,149.69766,21.9,2019-08-13,2019-08,NSW,D,h
-30.03313,152.78587,21.0,2019-08-11,2019-08,NSW,D,h
-29.23036,148.32257,20.7,2019-08-11,2019-08,NSW,D,h
-29.73507,152.54102,20.6,2019-08-09,2019-08,NSW,D,n
-32.53371,147.73878,20.6,2019-08-08,2019-08,NSW,D,n
-32.38202,151.42268,19.9,2019-08-15,2019-08,NSW,D,n
-31.67772,147.06256,19.6,2019-08-04,2019-08,NSW,D,n
