latitude,longitude,frp,acq_date,month,state,daynight,confidence
-33.84125,117.55882,0.7,2019-08-13,2019-08,WA,N,n
-29.68522,116.56659,6.0,2019-08-10,2019-08,WA,D,n
-16.58469,124.10675,97.8,2019-08-22,2019-08,WA,D,h
-32.62652,116.92299,0.7,2019-08-15,2019-08,WA,N,n
-14.71594,126.7392,12.9,2019-08-01,2019-08,WA,D,h
-16.82963,123.15228,61.9,2019-08-23,2019-08,WA,N,n
-34.32518,116.98229,14.9,2019-08-12,2019-08,WA,D,n
-16.96839,123.06418,25.6,2019-08-11,2019-08,WA,D,n
-32.72365,116.55486,0.4,2019-08-19,2019-08,WA,N,n
-32.20959,116.05154,20.0,2019-08-28,2019-08,WA,D,n
-34.5638,117.64457,3.2,2019-08-22,2019-08,WA,D,n
-17.98155,126.83292,10.3,2019-08-28,2019-08,WA,D,n
-30.851,116.01893,10.1,2019-08-02,2019-08,WA,D,n
-16.18402,126.11297,93.8,2019-08-07,2019-08,WA,D,n
-17.30683,123.98479,16.0,2019-08-14,2019-08,WA,D,n
-30.60862,117.08704,2.1,2019-08-26,2019-08,WA,D,n
-31.72675,116.04561,2.7,2019-08-17,2019-08,WA,D,n
-17.35051,123.73875,22.0,2019-08-31,2019-08,WA,D,h
-30.22511,115.55733,5.4,2019-08-25,2019-08,WA,D,n
-33.77393,118.69068,3.7,2019-08-26,2019-08,WA,D,n
-33.54642,116.56876,9.0,2019-08-01,2019-08,WA,D,n
-16.20463,125.99247,14.4,2019-08-04,2019-08,WA,D,n
-16.58535,124.11252,51.8,2019-08-22,2019-08,WA,D,h
-16.17248,128.35828,11.1,2019-08-14,2019-08,WA,D,n
-22.23004,119.57064,91.8,2019-08-05,2019-08,WA,D,h
-33.76546,115.41335,2.1,2019-08-01,2019-08,WA,D,n
-33.7368,117.40355,4.0,2019-08-19,2019-08,WA,D,n
-20.52067,118.58442,10.1,2019-08-24,2019-08,WA,D,n
-16.75508,122.85731,41.6,2019-08-10,2019-08,WA,D,n
-33.90645,120.47398,1.9,2019-08-02,2019-08,WA,D,n
-31.74192,116.41078,62.8,2019-08-28,2019-08,WA,D,h
-33.94608,116.77097,44.1,2019-08-27,2019-08,WA,D,n
-32.41095,116.07265,18.2,2019-08-30,2019-08,WA,D,n
-31.1848,117.11018,3.2,2019-08-13,2019-08,WA,D,n
-31.71406,116.2354,6.2,2019-08-21,2019-08,WA,D,n
-24.37291,128.77492,7.4,2019-08-24,2019-08,WA,D,n
-34.93258,117.82374,0.8,2019-08-13,2019-08,WA,N,n
-31.13126,115.82178,12.0,2019-08-02,2019-08,WA,D,n
